"PK_ID","Id","StreetName","DesignationId","Designation","SuburbId","Suburb"
1,6299,"Gawler",66,"Lane",114,"Ellenbrook"
2,6321,"Gellibrand",117,"Vsta",114,"Ellenbrook"
3,6437,"Ginnini",66,"Lane",114,"Ellenbrook"
4,6457,"Glade",109,"Tce",114,"Ellenbrook"
5,6458,"Gladman",75,"Pass",114,"Ellenbrook"
6,6486,"Glenallen",119,"Way",114,"Ellenbrook"
7,6527,"Glenora",116,"View",114,"Ellenbrook"
8,6572,"Gnangara",87,"Rd",114,"Ellenbrook"
9,6638,"Goomally",114,"Turn",114,"Ellenbrook"
10,6706,"Granada",119,"Way",114,"Ellenbrook"
11,6722,"Granesse",42,"Dr",114,"Ellenbrook"
12,6897,"Gulf",27,"Cove",114,"Ellenbrook"
13,6934,"Guraga",109,"Tce",114,"Ellenbrook"
14,7018,"Halpin",19,"Cir",114,"Ellenbrook"
15,7078,"Harberton",79,"Pkwy",114,"Ellenbrook"
16,7150,"Hartley",75,"Pass",114,"Ellenbrook"
17,7179,"Hatfield",87,"Rd",114,"Ellenbrook"
18,7228,"Haysom",66,"Lane",114,"Ellenbrook"
19,7267,"Heathland",109,"Tce",114,"Ellenbrook"
20,7285,"Heirisson",114,"Turn",114,"Ellenbrook"
21,7321,"Henley Brook",6,"Ave",114,"Ellenbrook"
22,7402,"Hibbertia",80,"Pl",114,"Ellenbrook"
23,7434,"Highpoint",15,"Bvd",114,"Ellenbrook"
24,7460,"Hillyar",66,"Lane",114,"Ellenbrook"
25,7508,"Hodnet",11,"Bend",114,"Ellenbrook"
26,7517,"Hoking",27,"Cove",114,"Ellenbrook"
27,7541,"Hollis",66,"Lane",114,"Ellenbrook"
28,7581,"Honeyeater",109,"Tce",114,"Ellenbrook"
29,7644,"Hosnie",42,"Dr",114,"Ellenbrook"
30,7647,"Hosta",66,"Lane",114,"Ellenbrook"
31,7687,"Hoyton",22,"Cl",114,"Ellenbrook"
32,7831,"Indee",66,"Lane",114,"Ellenbrook"
33,7891,"Iowna",66,"Lane",114,"Ellenbrook"
34,7903,"Ironbark",66,"Lane",114,"Ellenbrook"
35,7963,"Jacksonia",39,"Ct",114,"Ellenbrook"
36,8076,"Jenolan",66,"Lane",114,"Ellenbrook"
37,8085,"Jervis",42,"Dr",114,"Ellenbrook"
38,8108,"Jilgin",119,"Way",114,"Ellenbrook"
39,8253,"Kalgan",39,"Ct",114,"Ellenbrook"
40,8258,"Kalinga",42,"Dr",114,"Ellenbrook"
41,8269,"Kalyeeda",109,"Tce",114,"Ellenbrook"
42,8303,"Karakin",109,"Tce",114,"Ellenbrook"
43,8309,"Karbar",75,"Pass",114,"Ellenbrook"
44,8383,"Kea",39,"Ct",114,"Ellenbrook"
45,8489,"Kentish",119,"Way",114,"Ellenbrook"
46,8579,"Killara",6,"Ave",114,"Ellenbrook"
47,8601,"Kimba",75,"Pass",114,"Ellenbrook"
48,8613,"Kinclaven",66,"Lane",114,"Ellenbrook"
49,8868,"Kyeema",119,"Way",114,"Ellenbrook"
50,8893,"Lacebark",39,"Ct",114,"Ellenbrook"
51,8980,"Lancaster",6,"Ave",114,"Ellenbrook"
52,9054,"Larkins",119,"Way",114,"Ellenbrook"
53,9059,"Larrawa",19,"Cir",114,"Ellenbrook"
54,9084,"Latina",32,"Cres",114,"Ellenbrook"
55,9130,"Layton",66,"Lane",114,"Ellenbrook"
56,9185,"Leedon",42,"Dr",114,"Ellenbrook"
57,9227,"Lemonthyme",66,"Lane",114,"Ellenbrook"
58,9255,"Leopold",114,"Turn",114,"Ellenbrook"
59,9275,"Letica",3,"Ally",114,"Ellenbrook"
60,9320,"Library",6,"Ave",114,"Ellenbrook"
61,9432,"Lissadell",109,"Tce",114,"Ellenbrook"
62,9489,"Locke",66,"Lane",114,"Ellenbrook"
63,9502,"Lodge",119,"Way",114,"Ellenbrook"
64,9522,"Lomandra",66,"Lane",114,"Ellenbrook"
65,9557,"Longton",119,"Way",114,"Ellenbrook"
66,9562,"Lookout",19,"Cir",114,"Ellenbrook"
67,9600,"Louisa",58,"Gr",114,"Ellenbrook"
68,9651,"Lucia",66,"Lane",114,"Ellenbrook"
69,9756,"Lyon",119,"Way",114,"Ellenbrook"
70,9796,"Macfaull",66,"Lane",114,"Ellenbrook"
71,9833,"Madden",119,"Way",114,"Ellenbrook"
72,9849,"Madigan",119,"Way",114,"Ellenbrook"
73,9885,"Main",103,"St",114,"Ellenbrook"
74,9939,"Mallina",119,"Way",114,"Ellenbrook"
75,9949,"Malta",119,"Way",114,"Ellenbrook"
76,9986,"Mandora",109,"Tce",114,"Ellenbrook"
77,9989,"Maneroo",119,"Way",114,"Ellenbrook"
78,10048,"Maplewood",60,"Grn",114,"Ellenbrook"
79,10055,"Maralla",87,"Rd",114,"Ellenbrook"
80,10084,"Mardie",66,"Lane",114,"Ellenbrook"
81,10169,"Marsala",119,"Way",114,"Ellenbrook"
82,10410,"Meade",114,"Turn",114,"Ellenbrook"
83,10577,"Messina",58,"Gr",114,"Ellenbrook"
84,10584,"Metro",114,"Turn",114,"Ellenbrook"
85,10599,"Mia",39,"Ct",114,"Ellenbrook"
86,10628,"Midsummer",19,"Cir",114,"Ellenbrook"
87,10630,"Midway",103,"St",114,"Ellenbrook"
88,10640,"Milano",77,"Pde",114,"Ellenbrook"
89,10683,"Millhouse",87,"Rd",114,"Ellenbrook"
90,10694,"Millstream",58,"Gr",114,"Ellenbrook"
91,10703,"Milson",109,"Tce",114,"Ellenbrook"
92,10711,"Mimosa",66,"Lane",114,"Ellenbrook"
93,10722,"Miner",66,"Lane",114,"Ellenbrook"
94,10757,"Mira",66,"Lane",114,"Ellenbrook"
95,10768,"Mirimas",39,"Ct",114,"Ellenbrook"
96,10797,"Moates",36,"Crss",114,"Ellenbrook"
97,10826,"Molloy",66,"Lane",114,"Ellenbrook"
98,10831,"Mona Vale",69,"Loop",114,"Ellenbrook"
99,10832,"Monaco",6,"Ave",114,"Ellenbrook"
100,10851,"Monroe",36,"Crss",114,"Ellenbrook"
101,10933,"Moreau",42,"Dr",114,"Ellenbrook"
102,10937,"Morella",36,"Crss",114,"Ellenbrook"
103,10953,"Mornington",79,"Pkwy",114,"Ellenbrook"
104,10977,"Morton",6,"Ave",114,"Ellenbrook"
105,11011,"Moulton",113,"Trl",114,"Ellenbrook"
106,11017,"Mount Elizabeth",66,"Lane",114,"Ellenbrook"
107,11019,"Mount House",119,"Way",114,"Ellenbrook"
108,11085,"Mundego",114,"Turn",114,"Ellenbrook"
109,11128,"Musselbrook",113,"Trl",114,"Ellenbrook"
110,11155,"Myola",66,"Lane",114,"Ellenbrook"
111,11178,"Naldera",66,"Lane",114,"Ellenbrook"
112,11179,"Nallan",66,"Lane",114,"Ellenbrook"
113,11220,"Napoli",6,"Ave",114,"Ellenbrook"
114,11318,"Nerrima",119,"Way",114,"Ellenbrook"
115,11364,"Newington",75,"Pass",114,"Ellenbrook"
116,11431,"Nita",66,"Lane",114,"Ellenbrook"
117,11473,"Noric",66,"Lane",114,"Ellenbrook"
118,11559,"Nurina",119,"Way",114,"Ellenbrook"
119,11581,"Nychum",75,"Pass",114,"Ellenbrook"
120,11602,"Oakhill",63,"Hts",114,"Ellenbrook"
121,11622,"Oban",119,"Way",114,"Ellenbrook"
122,11809,"Orford",66,"Lane",114,"Ellenbrook"
123,11863,"Osso",66,"Lane",114,"Ellenbrook"
124,11893,"Oval",117,"Vsta",114,"Ellenbrook"
125,11971,"Palladio",118,"Walk",114,"Ellenbrook"
126,12018,"Paperbark",80,"Pl",114,"Ellenbrook"
127,12074,"Parnham",6,"Ave",114,"Ellenbrook"
128,12081,"Parrotbush",32,"Cres",114,"Ellenbrook"
129,12129,"Patten",119,"Way",114,"Ellenbrook"
130,12152,"Paxton",39,"Ct",114,"Ellenbrook"
131,12205,"Pegus",66,"Lane",114,"Ellenbrook"
132,12242,"Penna",66,"Lane",114,"Ellenbrook"
133,12266,"Peony",66,"Lane",114,"Ellenbrook"
134,12289,"Peri",67,"Link",114,"Ellenbrook"
135,12316,"Perth-Darwin",64,"Hwy",114,"Ellenbrook"
136,12420,"Pinaster",77,"Pde",114,"Ellenbrook"
137,12431,"Pinea",114,"Turn",114,"Ellenbrook"
138,12435,"Pinegrove",42,"Dr",114,"Ellenbrook"
139,12472,"Pipit",39,"Ct",114,"Ellenbrook"
140,12478,"Pisano",118,"Walk",114,"Ellenbrook"
141,12484,"Pitch",119,"Way",114,"Ellenbrook"
142,12525,"Plaza",114,"Turn",114,"Ellenbrook"
143,12590,"Ponte Vecchio",15,"Bvd",114,"Ellenbrook"
144,12623,"Portofino",114,"Turn",114,"Ellenbrook"
145,12716,"Prion",119,"Way",114,"Ellenbrook"
146,12801,"Pym",66,"Lane",114,"Ellenbrook"
147,12893,"Radiata",6,"Ave",114,"Ellenbrook"
148,12927,"Rainsby",32,"Cres",114,"Ellenbrook"
149,12932,"Rakich",42,"Dr",114,"Ellenbrook"
150,12996,"Raven",58,"Gr",114,"Ellenbrook"
151,13022,"Rea",66,"Lane",114,"Ellenbrook"
152,13044,"Redbank",42,"Dr",114,"Ellenbrook"
153,13072,"Redstone",113,"Trl",114,"Ellenbrook"
154,13095,"Regelia",114,"Turn",114,"Ellenbrook"
155,13131,"Renfrew",66,"Lane",114,"Ellenbrook"
156,13135,"Rennex",95,"Rmbl",114,"Ellenbrook"
157,13161,"Retail",67,"Link",114,"Ellenbrook"
158,13169,"Reveley",117,"Vsta",114,"Ellenbrook"
159,13212,"Ridgehill",39,"Ct",114,"Ellenbrook"
160,18070,"Riidge Hill",39,"Ct",114,"Ellenbrook"
161,13229,"Rimini",66,"Lane",114,"Ellenbrook"
162,13271,"Rivergum",22,"Cl",114,"Ellenbrook"
163,13273,"Riverina",42,"Dr",114,"Ellenbrook"
164,13335,"Rocklea",32,"Cres",114,"Ellenbrook"
165,13341,"Rodda",118,"Walk",114,"Ellenbrook"
166,13350,"Rodsand",17,"Cct",114,"Ellenbrook"
167,13376,"Roma",117,"Vsta",114,"Ellenbrook"
168,13442,"Rosewood",63,"Hts",114,"Ellenbrook"
169,13457,"Rossini",19,"Cir",114,"Ellenbrook"
170,13523,"Rudall",67,"Link",114,"Ellenbrook"
171,13704,"San Lorenzo",15,"Bvd",114,"Ellenbrook"
