"Id","Name","PositionId"
1,"Alexander Heights",1
2,"Alfred Cove",2
3,"Alkimos",3
4,"Anketell",4
5,"Applecross",5
6,"Ardross",6
7,"Armadale",7
8,"Ascot",8
9,"Ashby",9
10,"Ashendon",10
11,"Ashfield",11
12,"Attadale",12
13,"Atwell",13
14,"Aubin Grove",14
15,"Aveley",15
16,"Avon Valley National Park",16
17,"Bailup",17
18,"Bakers Hill",18
19,"Balcatta",19
20,"Baldivis",20
21,"Balga",21
22,"Ballajura",22
23,"Banjup",23
24,"Banksia Grove",24
25,"Baskerville",25
26,"Bassendean",26
27,"Bateman",27
28,"Bayswater",28
29,"Beaconsfield",29
30,"Beckenham",30
31,"Bedford",31
32,"Bedfordale",32
33,"Beechboro",33
34,"Beechina",34
35,"Beeliar",35
36,"Beldon",36
37,"Belhus",37
38,"Bellevue",38
39,"Belmont",39
40,"Bentley",40
41,"Bertram",41
42,"Bibra Lake",42
43,"Bickley",43
44,"Bicton",44
45,"Booragoon",45
46,"Boya",46
47,"Brentwood",47
48,"Brigadoon",48
49,"Brookdale",49
50,"Buckland",50
51,"Bull Creek",51
52,"Bullsbrook",52
53,"Burlong",53
54,"Burns",54
55,"Burns Beach",55
56,"Burswood",56
57,"Butler",57
58,"Byford",58
59,"Calista",59
60,"Camillo",60
61,"Canning Mills",61
62,"Canning Vale",62
63,"Cannington",63
64,"Carabooda",64
65,"Cardup",65
66,"Carine",66
67,"Carlisle",67
68,"Carmel",68
69,"Carramar",69
70,"Casuarina",70
71,"Caversham",71
72,"Champion Lakes",72
73,"Chidlow",73
74,"Chittering",74
75,"Churchlands",75
76,"City Beach",76
77,"Clackline",77
78,"Claremont",78
79,"Clarkson",79
80,"Cloverdale",80
81,"Cockburn Central",81
82,"Como",82
83,"Connolly",83
84,"Coogee",84
85,"Coolbellup",85
86,"Coolbinia",86
87,"Cooloongup",87
88,"Coondle",88
89,"Copley",89
90,"Cottesloe",90
91,"Craigie",91
92,"Crawley",92
93,"Cullacabardee",93
94,"Currambine",94
95,"Daglish",95
96,"Dale",96
97,"Daliak",97
98,"Dalkeith",98
99,"Darch",99
100,"Darling Downs",100
101,"Darlington",101
102,"Dianella",102
103,"Doubleview",103
104,"Dumbarton",104
105,"Duncraig",105
106,"East Cannington",106
107,"East Fremantle",107
108,"East Perth",108
109,"East Rockingham",109
110,"East Victoria Park",110
111,"Eden Hill",111
112,"Edgewater",112
113,"Eglinton",113
114,"Ellenbrook",114
115,"Embleton",115
116,"Ferndale",116
117,"Flint",117
118,"Floreat",118
119,"Flynn",119
120,"Forrestdale",120
121,"Forrestfield",121
122,"Fremantle",122
123,"Garden Island",123
124,"Gidgegannup",124
125,"Girrawheen",125
126,"Glen Forrest",126
127,"Glendalough",127
128,"Gnangara",128
129,"Golden Bay",129
130,"Gooseberry Hill",130
131,"Gosnells",131
132,"Greenmount",132
133,"Greenwood",133
134,"Guildford",134
135,"Gwelup",135
136,"Hacketts Gully",136
137,"Hamersley",137
138,"Hamilton Hill",138
139,"Hammond Park",139
140,"Harrisdale",140
141,"Haynes",141
142,"Hazelmere",142
143,"Heathridge",143
144,"Helena Valley",144
145,"Henderson",145
146,"Henley Brook",146
147,"Herdsman",147
148,"Herne Hill",148
149,"High Wycombe",149
150,"Highgate",150
151,"Hilbert",151
152,"Hillarys",152
153,"Hillman",153
154,"Hilton",154
155,"Hocking",155
156,"Hoddys Well",156
157,"Hope Valley",157
158,"Hopeland",158
159,"Hovea",159
160,"Huntingdale",160
161,"Illawarra",161
162,"Iluka",162
163,"Inglewood",163
164,"Inkpen",164
165,"Innaloo",165
166,"Irishtown",166
167,"Jandabup",167
168,"Jandakot",168
169,"Jane Brook",169
170,"Jarrahdale",170
171,"Jelcobine",171
172,"Jennacubbine",172
173,"Jennapullin",173
174,"Jindalee",174
175,"Jolimont",175
176,"Joondalup",176
177,"Joondanna",177
178,"Julimar",178
179,"Kalamunda",179
180,"Kallaroo",180
181,"Karawara",181
182,"Kardinya",182
183,"Karnup",183
184,"Karragullen",184
185,"Karrakatta",185
186,"Karrakup",186
187,"Karrinyup",187
188,"Katrine",188
189,"Kelmscott",189
190,"Kensington",190
191,"Kenwick",191
192,"Kewdale",192
193,"Keysbrook",193
194,"Kiara",194
195,"Kings Park",195
196,"Kingsley",196
197,"Kinross",197
198,"Koondoola",198
199,"Koongamia",199
200,"Kwinana Beach",200
201,"Kwinana Town Centre",201
202,"Lakelands",202
203,"Landsdale",203
204,"Langford",204
205,"Lathlain",205
206,"Leda",206
207,"Leederville",207
208,"Leeming",208
209,"Lesley",209
210,"Lesmurdie",210
211,"Lexia",211
212,"Lockridge",212
213,"Lower Chittering",213
214,"Lynwood",214
215,"Maddington",215
216,"Madeley",216
217,"Madora",217
218,"Madora Bay",218
219,"Mahogany Creek",219
220,"Maida Vale",220
221,"Malabaine",221
222,"Malaga",222
223,"Mandogalup",223
224,"Manning",224
225,"Marangaroo",225
226,"Mardella",226
227,"Mariginiup",227
228,"Marmion",228
229,"Martin",229
230,"Maylands",230
231,"Meadow Springs",231
232,"Medina",232
